 ,market_open,market_close
2023-01-03,2023-01-03 14:30:00+00:00,2023-01-03 21:00:00+00:00
2023-01-04,2023-01-04 14:30:00+00:00,2023-01-04 21:00:00+00:00
2023-01-05,2023-01-05 14:30:00+00:00,2023-01-05 21:00:00+00:00
2023-01-06,2023-01-06 14:30:00+00:00,2023-01-06 21:00:00+00:00
2023-01-09,2023-01-09 14:30:00+00:00,2023-01-09 21:00:00+00:00
2023-01-10,2023-01-10 14:30:00+00:00,2023-01-10 21:00:00+00:00
2023-01-11,2023-01-11 14:30:00+00:00,2023-01-11 21:00:00+00:00
2023-01-12,2023-01-12 14:30:00+00:00,2023-01-12 21:00:00+00:00
2023-01-13,2023-01-13 14:30:00+00:00,2023-01-13 21:00:00+00:00
2023-01-17,2023-01-17 14:30:00+00:00,2023-01-17 21:00:00+00:00
2023-01-18,2023-01-18 14:30:00+00:00,2023-01-18 21:00:00+00:00
2023-01-19,2023-01-19 14:30:00+00:00,2023-01-19 21:00:00+00:00
2023-01-20,2023-01-20 14:30:00+00:00,2023-01-20 21:00:00+00:00
2023-01-23,2023-01-23 14:30:00+00:00,2023-01-23 21:00:00+00:00
2023-01-24,2023-01-24 14:30:00+00:00,2023-01-24 21:00:00+00:00
2023-01-25,2023-01-25 14:30:00+00:00,2023-01-25 21:00:00+00:00
2023-01-26,2023-01-26 14:30:00+00:00,2023-01-26 21:00:00+00:00
2023-01-27,2023-01-27 14:30:00+00:00,2023-01-27 21:00:00+00:00
2023-01-30,2023-01-30 14:30:00+00:00,2023-01-30 21:00:00+00:00
2023-01-31,2023-01-31 14:30:00+00:00,2023-01-31 21:00:00+00:00
2023-02-01,2023-02-01 14:30:00+00:00,2023-02-01 21:00:00+00:00
2023-02-02,2023-02-02 14:30:00+00:00,2023-02-02 21:00:00+00:00
2023-02-03,2023-02-03 14:30:00+00:00,2023-02-03 21:00:00+00:00
2023-02-06,2023-02-06 14:30:00+00:00,2023-02-06 21:00:00+00:00
2023-02-07,2023-02-07 14:30:00+00:00,2023-02-07 21:00:00+00:00
2023-02-08,2023-02-08 14:30:00+00:00,2023-02-08 21:00:00+00:00
2023-02-09,2023-02-09 14:30:00+00:00,2023-02-09 21:00:00+00:00
2023-02-10,2023-02-10 14:30:00+00:00,2023-02-10 21:00:00+00:00
2023-02-13,2023-02-13 14:30:00+00:00,2023-02-13 21:00:00+00:00
2023-02-14,2023-02-14 14:30:00+00:00,2023-02-14 21:00:00+00:00
2023-02-15,2023-02-15 14:30:00+00:00,2023-02-15 21:00:00+00:00
2023-02-16,2023-02-16 14:30:00+00:00,2023-02-16 21:00:00+00:00
2023-02-17,2023-02-17 14:30:00+00:00,2023-02-17 21:00:00+00:00
2023-02-21,2023-02-21 14:30:00+00:00,2023-02-21 21:00:00+00:00
2023-02-22,2023-02-22 14:30:00+00:00,2023-02-22 21:00:00+00:00
2023-02-23,2023-02-23 14:30:00+00:00,2023-02-23 21:00:00+00:00
2023-02-24,2023-02-24 14:30:00+00:00,2023-02-24 21:00:00+00:00
2023-02-27,2023-02-27 14:30:00+00:00,2023-02-27 21:00:00+00:00
2023-02-28,2023-02-28 14:30:00+00:00,2023-02-28 21:00:00+00:00
2023-03-01,2023-03-01 14:30:00+00:00,2023-03-01 21:00:00+00:00
2023-03-02,2023-03-02 14:30:00+00:00,2023-03-02 21:00:00+00:00
2023-03-03,2023-03-03 14:30:00+00:00,2023-03-03 21:00:00+00:00
2023-03-06,2023-03-06 14:30:00+00:00,2023-03-06 21:00:00+00:00
2023-03-07,2023-03-07 14:30:00+00:00,2023-03-07 21:00:00+00:00
2023-03-08,2023-03-08 14:30:00+00:00,2023-03-08 21:00:00+00:00
2023-03-09,2023-03-09 14:30:00+00:00,2023-03-09 21:00:00+00:00
2023-03-10,2023-03-10 14:30:00+00:00,2023-03-10 21:00:00+00:00
2023-03-13,2023-03-13 13:30:00+00:00,2023-03-13 20:00:00+00:00
2023-03-14,2023-03-14 13:30:00+00:00,2023-03-14 20:00:00+00:00
2023-03-15,2023-03-15 13:30:00+00:00,2023-03-15 20:00:00+00:00
2023-03-16,2023-03-16 13:30:00+00:00,2023-03-16 20:00:00+00:00
2023-03-17,2023-03-17 13:30:00+00:00,2023-03-17 20:00:00+00:00
2023-03-20,2023-03-20 13:30:00+00:00,2023-03-20 20:00:00+00:00
2023-03-21,2023-03-21 13:30:00+00:00,2023-03-21 20:00:00+00:00
2023-03-22,2023-03-22 13:30:00+00:00,2023-03-22 20:00:00+00:00
2023-03-23,2023-03-23 13:30:00+00:00,2023-03-23 20:00:00+00:00
2023-03-24,2023-03-24 13:30:00+00:00,2023-03-24 20:00:00+00:00
2023-03-27,2023-03-27 13:30:00+00:00,2023-03-27 20:00:00+00:00
